Question,Answer_A,Answer_B,Answer_C,Answer_D,Difficulty level,Correct answer
Which is the largest continent in the world by land area?,Africa,Antarctica,Asia,North America,1,C
What is the capital city of Canada?,Toronto,Vancouver,Ottawa,Montreal,1,C
Which mountain is the highest peak in Africa?,Mount Kenya,Mount Kilimanjaro,Mount Meru,Mount Stanley,1,B
What is the longest river in South America?,Paraná River,Orinoco River,Amazon River,Madeira River,1,C
Which ocean is located between Europe and North America?,Pacific Ocean,Indian Ocean,Atlantic Ocean,Arctic Ocean,1,C
What is the name of the desert in Australia?,Gobi Desert,Kalahari Desert,Great Victoria Desert,Sahara Desert,1,C
Which country is known as the 'Land of Fire and Ice'?,Iceland,New Zealand,Greenland,Australia,1,A
What is the largest freshwater lake in the world by surface area?,Lake Baikal,Lake Superior,Lake Victoria,Lake Huron,1,B
Which sea is connected to the Atlantic Ocean by the Strait of Gibraltar?,Red Sea,Black Sea,Mediterranean Sea,Baltic Sea,1,C
What is the capital city of Brazil?,Rio de Janeiro,São Paulo,Brasília,Salvador,1,C
Which type of plate boundary is associated with the formation of mid - ocean ridges?,Convergent plate boundary,Transform plate boundary,Divergent plate boundary,Subduction zone (not a standard boundary option),2,C
What is the process by which water is transferred from the land to the atmosphere by plants?,Condensation,Precipitation,Transpiration,Evaporation,2,C
Which climate zone is characterized by very cold temperatures and little precipitation?,Tropical climate,Mediterranean climate,Polar climate,Sub - tropical climate,2,C
What is the term for a narrow strip of land that connects two larger landmasses and separates two bodies of water?,Peninsula,Isthmus,Archipelago,Cape,2,B
Which ocean current affects the climate of the western coast of South America?,Gulf Stream,California Current,Peru Current,East Australian Current,2,C
What is the difference between a lake and a sea?,"A lake is saltwater, a sea is freshwater","A lake is usually smaller and surrounded by land, a sea is larger and connected to an ocean",There is no real difference between them,"A sea is smaller and surrounded by land, a lake is larger and connected to an ocean",2,B
Which type of rock is formed from the accumulation and compaction of sediment?,Igneous rock,Metamorphic rock,Sedimentary rock,Composite rock,2,C
What is the name of the imaginary line that divides the Earth into the Eastern and Western Hemispheres?,Equator,Prime Meridian,Tropic of Cancer,Tropic of Capricorn,2,B
Which factor most influences the climate of a mountainous region?,Proximity to the ocean,Latitude,Altitude,Prevailing winds,2,C
What is the name of the process by which water moves through the ground?,Evaporation,Infiltration,Runoff,Sublimation,2,B
Which trench is the second - deepest in the world after the Mariana Trench?,Tonga Trench,Puerto Rico Trench,Kuril - Kamchatka Trench,Java Trench,3,A
What is the significance of the Doldrums in ocean navigation?,"They cause strong, consistent winds",They are areas of calm winds and variable weather,They are areas of high - pressure systems,They are areas of strong ocean currents,3,B
How do barrier islands form?,By volcanic eruptions in the ocean,By the deposition of sediment along the coast,By the movement of tectonic plates,By the action of tsunamis,3,B
"Which biome is characterized by large, open grasslands with few trees?",Taiga,Temperate deciduous forest,Savanna,Chaparral,3,C
What is the relationship between latitude and temperature on Earth?,Temperature increases with increasing latitude,Temperature decreases with increasing latitude,There is no relationship between latitude and temperature,Temperature first increases and then decreases with increasing latitude,3,B
Which geographical feature is created when a glacier erodes a U - shaped valley?,Delta,Fjord,Sandbar,Atoll,3,B
What is the impact of urbanization on the local climate?,It cools the local climate,It has no effect on the local climate,It warms the local climate,It makes the local climate more humid,3,C
Which type of soil is common in areas with a lot of volcanic activity?,Aridisol,Mollisol,Andisol,Spodosol,3,C
What causes the trade winds?,The rotation of the Earth on its axis,The difference in pressure between the equator and the poles,The tilt of the Earth's axis,The gravitational pull of the moon,3,B
How does the La Niña event affect the climate in the western Pacific?,It causes droughts,It causes heavy rainfall,It causes normal weather conditions,It causes extremely cold temperatures,3,B
